Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UC Irvine,Y,Chemistry,Research,,,https://www.chem.uci.edu/research/areasoff,5/27/2024,Karim,2:45,,
UC Irvine,Y,Chemistry,Undergraduate Research,,,,5/27/2024,Karim,2:45,,
UC Irvine,Y,Chemistry,DEI/JEDI,,,,5/27/2024,Karim,2:45,,
UC Irvine,Y,Chemistry,Chair’s Message,,,,5/27/2024,Karim,2:45,,
UC Irvine,Y,Chemistry,About,,,https://www.chem.uci.edu/welcome,5/27/2024,Karim,2:45,,
UC Irvine,Y,Chemistry,Courses/Curriculum,,,,5/27/2024,Karim,2:45,,
UC Irvine,Y,Neurobiology and Behavior,Home/Landing,,,https://neurobiology.uci.edu/,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,Undergrad education,,,https://neurobiology.uci.edu/undergraduate-programs/,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,Prospective students,,Y,https://www.bio.uci.edu/students/prospective-students/,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,Advising,,,,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,Research,,,https://neurobiology.uci.edu/research-units/,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,Undergraduate Research,,Y,https://undergraduate.bio.uci.edu/bio-197-198-199/,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,DEI/JEDI,,,,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,Chair’s Message,,,,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,About,,,https://neurobiology.uci.edu/about/,2/7/2025,Nate,2:52,,
UC Irvine,Y,Neurobiology and Behavior,Courses/Curriculum,,,,2/7/2025,Nate,2:52,,
,,,,,,,,,,,
UC Irvine,Y,Developmental and Cell Biology,Home/Landing,,,https://devcell.bio.uci.edu/,2/7/2025,Nate,2:34,,
UC Irvine,Y,Developmental and Cell Biology,Undergrad education,,,https://devcell.bio.uci.edu/undergraduates/undergraduate-programs/,2/7/2025,Nate,2:34,,
UC Irvine,Y,Developmental and Cell Biology,Prospective students,,Y,https://www.bio.uci.edu/students/prospective-students/,2/7/2025,Nate,2:34,Central prospective student page for all bioscience,
UC Irvine,Y,Developmental and Cell Biology,Advising,,,,2/7/2025,Nate,2:34,,
UC Irvine,Y,Developmental and Cell Biology,Research,,,https://devcell.bio.uci.edu/research/,2/7/2025,Nate,2:34,,
UC Irvine,Y,Developmental and Cell Biology,Undergraduate Research,,Y,https://undergraduate.bio.uci.edu/bio-197-198-199/,2/7/2025,Nate,2:34,Central ugrad research page for all bioscience,
UC Irvine,Y,Developmental and Cell Biology,DEI/JEDI,,,,2/7/2025,Nate,2:34,,
UC Irvine,Y,Developmental and Cell Biology,Chair’s Message,Y,,https://devcell.bio.uci.edu/about/,2/7/2025,Nate,2:34,,
UC Irvine,Y,Developmental and Cell Biology,About,,,https://devcell.bio.uci.edu/about/,2/7/2025,Nate,2:34,,
