Institution,STEM,Department,Website_Type,Subset,Outside_Dept,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UCSB,Y,EEMB,About,,,https://www.eemb.ucsb.edu/about,2/8/2025,Keya,2:26.60,,Film and Media Studies
UCSB,Y,EEMB,Courses/Curriculum,,,https://undergrad.biology.ucsb.edu/courses,2/8/2025,Keya,2:26.60,,French and Italian
,,,,,,,,,,,Germanic and Slavic Studies
UCSB,Y,MCDB,Home/Landing,,,https://www.mcdb.ucsb.edu/,2/8/2025,Keya,1:52.42,,Global and International Studies
UCSB,Y,MCDB,Undergrad education,,,https://undergrad.biology.ucsb.edu/,2/8/2025,Keya,1:52.42,,History
UCSB,Y,MCDB,Prospective students,,,https://undergrad.biology.ucsb.edu/prospective,2/8/2025,Keya,1:52.42,,History of Art and Architecture
UCSB,Y,MCDB,Advising,,,https://undergrad.biology.ucsb.edu/current/academic-advising,2/8/2025,Keya,1:52.42,,Jewish Studies
UCSB,Y,MCDB,Research,,,https://www.mcdb.ucsb.edu/research,2/8/2025,Keya,1:52.42,,Latin American and Iberian Studies
UCSB,Y,MCDB,Undergraduate Research,,,https://undergrad.biology.ucsb.edu/research,2/8/2025,Keya,1:52.42,,Linguistics
UCSB,Y,MCDB,DEI/JEDI,,,https://diversity.mcdb.ucsb.edu/,2/8/2025,Keya,1:52.42,,Media Arts and Technology
UCSB,Y,MCDB,Chair’s Message,,,,2/8/2025,Keya,1:52.42,,Medieval Studies
UCSB,Y,MCDB,About,,,https://www.mcdb.ucsb.edu/about,2/8/2025,Keya,1:52.42,,Middle East Studies
UCSB,Y,MCDB,Courses/Curriculum,,,https://undergrad.biology.ucsb.edu/courses,2/8/2025,Keya,1:52.42,,Music
,,,,,,,,,,,Philosophy
UCSB,Y,Statistics and Applied Probabilty,Home/Landing,,,https://www.pstat.ucsb.edu/,2/8/2025,Keya,1:51.61,,Political Science
UCSB,Y,Statistics and Applied Probabilty,Undergrad education,,,https://www.pstat.ucsb.edu/undergrad,2/8/2025,Keya,1:51.61,,Religious Studies
UCSB,Y,Statistics and Applied Probabilty,Prospective students,,,,2/8/2025,Keya,1:51.61,,Renaissance Studies
UCSB,Y,Statistics and Applied Probabilty,Advising,,,https://www.pstat.ucsb.edu/undergrad/advising,2/8/2025,Keya,1:51.61,,Sociology
UCSB,Y,Statistics and Applied Probabilty,Research,,,https://www.pstat.ucsb.edu/about/research,2/8/2025,Keya,1:51.61,,Spanish and Portuguese
UCSB,Y,Statistics and Applied Probabilty,Undergraduate Research,,,https://www.pstat.ucsb.edu/undergrad/research,2/8/2025,Keya,1:51.61,,Theater
UCSB,Y,Statistics and Applied Probabilty,DEI/JEDI,,,https://www.pstat.ucsb.edu/about/dei,2/8/2025,Keya,1:51.61,,Writing Program
UCSB,Y,Statistics and Applied Probabilty,Chair’s Message,,,,2/8/2025,Keya,1:51.61,,
UCSB,Y,Statistics and Applied Probabilty,About,,,https://www.pstat.ucsb.edu/about,2/8/2025,Keya,1:51.61,,
UCSB,Y,Statistics and Applied Probabilty,Courses/Curriculum,,,https://www.pstat.ucsb.edu/courses,2/8/2025,Keya,1:51.61,,
,,,,,,,,,,,
UCSB,Y,Mathematics,Home/Landing,,,https://www.math.ucsb.edu/,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,Undergrad education,,,https://www.math.ucsb.edu/undergrad,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,Prospective students,Y,Y,https://www.math.ucsb.edu/sites/default/files/sitefiles/Pamphlet%20Updated%202020.pdf,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,Advising,Y,,https://www.math.ucsb.edu/undergrad,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,Research,,,https://www.math.ucsb.edu/research,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,Undergraduate Research,,,,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,DEI/JEDI,,,,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,Chair’s Message,,,,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,About,,,https://www.math.ucsb.edu/about,2/8/2025,Keya,2:49.77,,
UCSB,Y,Mathematics,Courses/Curriculum,,,https://www.math.ucsb.edu/undergrad/courses,2/8/2025,Keya,2:49.77,,
,,,,,,,,,,,
UCSB,Y,Computer Science,Home/Landing,,,https://www.cs.ucsb.edu/,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,Undergrad education,,,https://www.cs.ucsb.edu/education/undergraduate/overview,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,Prospective students,,,https://www.cs.ucsb.edu/education/undergraduate/prospective-students,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,Advising,,,,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,Research,,,https://www.cs.ucsb.edu/research,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,Undergraduate Research,,,,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,DEI/JEDI,,,https://www.cs.ucsb.edu/diversity-equity-inclusion,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,Chair’s Message,,,https://www.cs.ucsb.edu/index.php/about/chairs-message,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,About,Y,,https://www.cs.ucsb.edu/index.php/,2/8/2025,Keya,3:08.89,,
UCSB,Y,Computer Science,Courses/Curriculum,,,https://www.cs.ucsb.edu/education/courses/overview,2/8/2025,Keya,3:08.89,,
,,,,,,,,,,,
UCSB,Y,Psychology and Brain Sciences,Home/Landing,,,https://psych.ucsb.edu/,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,Undergrad education,,,https://psych.ucsb.edu/undergraduate-overview,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,Prospective students,,,https://psych.ucsb.edu/undergraduate/admissions,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,Advising,Y,,https://psych.ucsb.edu/undergraduate-overview,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,Research,,,https://psych.ucsb.edu/research/overview,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,Undergraduate Research,,,,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,DEI/JEDI,,,https://diversity.psych.ucsb.edu/,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,Chair’s Message,,,,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,About,,,https://psych.ucsb.edu/about-us,2/8/2025,Keya,3:39.34,,
UCSB,Y,Psychology and Brain Sciences,Courses/Curriculum,,,https://psych.ucsb.edu/undergraduate/course-information,2/8/2025,Keya,3:39.34,,
,,,,,,,,,,,
UCSB,Y,Economics,Home/Landing,,,https://econ.ucsb.edu/,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,Undergrad education,,,https://econ.ucsb.edu/programs/undergraduate,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,Prospective students,,,https://econ.ucsb.edu/programs/undergraduate/prospective,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,Advising,,,https://econ.ucsb.edu/programs/undergraduate/advising,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,Research,,,https://econ.ucsb.edu/research,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,Undergraduate Research,,,https://econ.ucsb.edu/research/undergraduate-research,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,DEI/JEDI,,,,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,Chair’s Message,,,,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,About,,,https://econ.ucsb.edu/about,2/8/2025,Keya,1:33.73,,
UCSB,Y,Economics,Courses/Curriculum,,,https://econ.ucsb.edu/programs/undergraduate/courses,2/8/2025,Keya,1:33.73,,
,,,,,,,,,,,
UCSB,Y,Earth Science,Home/Landing,,,https://www.geol.ucsb.edu/,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,Undergrad education,,,https://www.geol.ucsb.edu/undergrad-overview,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,Prospective students,,,,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,Advising,,,https://www.geol.ucsb.edu/major-advising,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,Research,,,https://www.geol.ucsb.edu/research,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,Undergraduate Research,,,https://www.geol.ucsb.edu/research-opportunites,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,DEI/JEDI,,,https://www.geol.ucsb.edu/jedi,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,Chair’s Message,,,,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,About,,,https://www.geol.ucsb.edu/,2/8/2025,Keya,1:52.76,,
UCSB,Y,Earth Science,Courses/Curriculum,,,https://www.geol.ucsb.edu/undergrad-courses,2/8/2025,Keya,1:52.76,,
,,,,,,,,,,,
UCSB,Y,Geography,Home/Landing,,,https://www.geog.ucsb.edu/,2/10/2025,Keya,1:28.01,,
