Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,,,,
UC Berkeley,N,Anthropology,Prospective students,,,https://anthropology.berkeley.edu/undergraduate-program/prospective-students,10/23/24,Keya,3:09,,,,,German
UC Berkeley,N,Anthropology,Advising,Y,,https://anthropology.berkeley.edu/undergraduate-program/current-students,10/23/24,Keya,3:09,,,,,Global Studies
UC Berkeley,N,Anthropology,Research,,,https://anthropology.berkeley.edu/research,10/23/24,Keya,3:09,,,,,Haas School of Business
UC Berkeley,N,Anthropology,Undergraduate Research,,,,10/23/24,Keya,3:09,,,,,Health Policy
UC Berkeley,N,Anthropology,DEI/JEDI,,,,10/23/24,Keya,3:09,,,,,"Health Sciences, Environmental"
UC Berkeley,N,Anthropology,Chair’s Message,,,https://anthropology.berkeley.edu/news-events/archived-letters-chair,10/23/24,Keya,3:09,,,,,History
UC Berkeley,N,Anthropology,About,,,https://anthropology.berkeley.edu/about,10/23/24,Keya,3:09,,,,,History of Art
UC Berkeley,N,Anthropology,Courses/Curriculum,,,https://anthropology.berkeley.edu/curriculum,10/23/24,Keya,3:09,,,,,
UC Berkeley,,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Y,Architecture,Home/Landing,,,https://ced.berkeley.edu/arch,10/23/24,Keya,3:44,,,,,
UC Berkeley,Y,Architecture,Undergrad education,,,https://ced.berkeley.edu/arch/degrees-admissions/bachelor-of-arts-architecture,10/23/24,Keya,3:44,not really undergrad - they give each major/degree,,,,
UC Berkeley,Y,Architecture,Prospective students,,,,10/23/24,Keya,3:44,,,,,Interdisciplinary Studies
UC Berkeley,Y,Architecture,Advising,,,https://ced.berkeley.edu/arch/advising,10/23/24,Keya,3:44,,,,,Italian Studies
UC Berkeley,Y,Architecture,Research,,,,10/23/24,Keya,3:44,,,,,Jewish Studies Program
UC Berkeley,Y,Architecture,Undergraduate Research,,,,10/23/24,Keya,3:44,,,,,Jurisprudence and Social Policy Program
UC Berkeley,Y,Architecture,DEI/JEDI,,,,10/23/24,Keya,3:44,,,,,
UC Berkeley,Y,Architecture,Chair’s Message,,,,10/23/24,Keya,3:44,,,,,Legal Studies
