Institution,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,,,,
UC Berkeley,Ethnic Studies,Courses/Curriculum,,Y,refers to course catalog,10/23/24,Keya,3:05,,,,,"Public Policy, The Richard & Rhoda Goldman School of"
UC Berkeley,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Astronomy,Home/Landing,,,https://astro.berkeley.edu/,10/23/24,Keya,2:50,,,,,Renaissance and Early Modern Studies
UC Berkeley,Astronomy,Undergrad education,,,https://astro.berkeley.edu/programs/undergraduate-program/,10/23/24,Keya,2:50,,,,,Rhetoric
UC Berkeley,Astronomy,Prospective students,,,https://astro.berkeley.edu/prospective-students/,10/23/24,Keya,2:50,,,,,Romance Languages and Literatures
UC Berkeley,Astronomy,Advising,,,https://astro.berkeley.edu/programs/undergraduate-program/undergraduate-resources/,10/23/24,Keya,2:50,"""resources""",,,,Scandinavian
UC Berkeley,Astronomy,Research,,,https://astro.berkeley.edu/research-facilities/research-opportunities/,10/23/24,Keya,2:50,,,,,
UC Berkeley,Astronomy,Undergraduate Research,Y,,https://astro.berkeley.edu/research-facilities/research-opportunities/,10/23/24,Keya,2:50,,,,,Slavic Languages and Literatures
UC Berkeley,Astronomy,DEI/JEDI,,,https://astro.berkeley.edu/about/diversity-and-climate/,10/23/24,Keya,2:50,,,,,"Slavic, East European, and Eurasian Studies, Institute of"
UC Berkeley,Astronomy,Chair’s Message,,,https://astro.berkeley.edu/about/,10/23/24,Keya,2:50,,,,,"Social Welfare, School of"
UC Berkeley,Astronomy,About,,,https://astro.berkeley.edu/about/history/,10/23/24,Keya,2:50,,,,,Society and Environment
UC Berkeley,Astronomy,Courses/Curriculum,,,https://astro.berkeley.edu/courses-category/undergraduate-spring-2020/,10/23/24,Keya,2:50,,,,,Sociology
UC Berkeley,,,,,,10/23/24,Keya,,,,,,South and Southeast Asian Studies
UC Berkeley,Bioengineering,Home/Landing,,,https://bioeng.berkeley.edu/,10/23/24,Keya,2:05,,,,,"South Asia Studies, Institute for"
UC Berkeley,Bioengineering,Undergrad education,,,https://bioeng.berkeley.edu/undergrad,10/23/24,Keya,2:05,,,,,Spanish and Portuguese
UC Berkeley,Bioengineering,Prospective students,,,https://bioeng.berkeley.edu/undergrad,10/23/24,Keya,2:05,,,,,
UC Berkeley,Bioengineering,Advising,,,https://bioeng.berkeley.edu/undergrad/advising,10/23/24,Keya,2:05,,,,,"Theater, Dance & Performance Studies"
UC Berkeley,Bioengineering,Research,,,https://bioeng.berkeley.edu/research,10/23/24,Keya,2:05,,,,,
UC Berkeley,Bioengineering,Undergraduate Research,,,https://bioeng.berkeley.edu/undergrad/undergradresearch,10/23/24,Keya,2:05,,,,,Urban Design
UC Berkeley,Bioengineering,DEI/JEDI,,,,10/23/24,Keya,2:05,,,,,
UC Berkeley,Bioengineering,Chair’s Message,,,,10/23/24,Keya,2:05,,,,,"Women's Studies, Gender and"
UC Berkeley,Bioengineering,About,,,https://bioeng.berkeley.edu/about-us,10/23/24,Keya,2:05,,,,,
UC Berkeley,Bioengineering,Courses/Curriculum,,,https://bioeng.berkeley.edu/undergrad/program,10/23/24,Keya,2:05,,,,,
UC Berkeley,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,"Biology, Integrative",Home/Landing,,,https://ib.berkeley.edu/,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",Undergrad education,,,https://ib.berkeley.edu/undergrad,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",Prospective students,,,https://ib.berkeley.edu/undergrad/major/declaring.php,10/23/24,Keya,2:12,"""declaring major""",,,,
UC Berkeley,"Biology, Integrative",Advising,,,https://ib.berkeley.edu/undergrad/advising.php,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",Research,,,https://ib.berkeley.edu/research,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",Undergraduate Research,,,https://ib.berkeley.edu/undergrad/research.php,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",DEI/JEDI,,,https://ib.berkeley.edu/diversity,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",Chair’s Message,,,,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",About,,,https://ib.berkeley.edu/about,10/23/24,Keya,2:12,,,,,
UC Berkeley,"Biology, Integrative",Courses/Curriculum,,,https://ib.berkeley.edu/academics/courses,10/23/24,Keya,2:12,,,,,
UC Berkeley,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,"Biology, Molecular and Cell",Home/Landing,,,https://mcb.berkeley.edu/,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",Undergrad education,,,https://mcb.berkeley.edu/undergrad,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",Prospective students,,,https://mcb.berkeley.edu/undergrad/prospective-students,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",Advising,,,https://mcb.berkeley.edu/undergrad/advising/advising-office/advising-services,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",Research,,,https://mcb.berkeley.edu/faculty-and-research,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",Undergraduate Research,,,https://mcb.berkeley.edu/undergrad/research,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",DEI/JEDI,,,https://mcb.berkeley.edu/diversity,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",Chair’s Message,,,,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",About,,,https://mcb.berkeley.edu/about-the-department,10/23/24,Keya,1:43,,,,,
UC Berkeley,"Biology, Molecular and Cell",Courses/Curriculum,,,https://mcb.berkeley.edu/undergrad/courses,10/23/24,Keya,1:43,,,,,
UC Berkeley,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,"Biology, Plant and Microbial",Home/Landing,,,https://plantandmicrobiology.berkeley.edu/,10/23/24,Keya,4:04,,,,,
UC Berkeley,"Biology, Plant and Microbial",Undergrad education,,,https://plantandmicrobiology.berkeley.edu/undergraduate-majors,10/23/24,Keya,4:04,,,,,
UC Berkeley,"Biology, Plant and Microbial",Prospective students,,,,10/23/24,Keya,4:04,outside dept website -> goes to college website,,,,
UC Berkeley,"Biology, Plant and Microbial",Advising,,,,10/23/24,Keya,4:04,outside dept website -> goes to college website,,,,
UC Berkeley,"Biology, Plant and Microbial",Research,,,https://plantandmicrobiology.berkeley.edu/research,10/23/24,Keya,4:04,,,,,
UC Berkeley,"Biology, Plant and Microbial",Undergraduate Research,,,,10/23/24,Keya,4:04,goes to college website,,,,
UC Berkeley,"Biology, Plant and Microbial",DEI/JEDI,,,https://plantandmicrobiology.berkeley.edu/equity-in-action,10/23/24,Keya,4:04,,,,,
UC Berkeley,"Biology, Plant and Microbial",Chair’s Message,,,,10/23/24,Keya,4:04,,,,,
UC Berkeley,"Biology, Plant and Microbial",About,,,https://plantandmicrobiology.berkeley.edu/about,10/23/24,Keya,4:04,,,,,
UC Berkeley,"Biology, Plant and Microbial",Courses/Curriculum,,,,10/23/24,Keya,4:04,goes to berk catalog,,,,
UC Berkeley,,,,,,10/23/24,Keya,,,,,,
UC Berkeley,Physics,Home/Landing,,,https://physics.berkeley.edu/,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,Undergrad education,,,https://physics.berkeley.edu/academics/undergraduate-degree,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,Prospective students,,,,10/23/24,Keya,2:26,,,,,
UC Berkeley,Physics,Advising,,,https://physics.berkeley.edu/student-life/student-support-advising,10/23/24,Keya,2:26,,,,,
